Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-June-2023,739.95,739.95,730.20,737.30,734.711855088565259968,174617,7316,128293180.00,73785,42.26,9.75,-2.65
19-June-2023,748.60,750.00,730.80,736.05,738.914274782270700985,164654,4188,121665191.00,31875,19.36,19.20,-12.55
16-June-2023,738.15,749.50,738.15,747.30,744.722983974789032213,275753,9061,205359597.00,185308,67.20,11.35,9.15
15-June-2023,737.10,748.55,736.45,739.50,742.051585690623883602,246328,8012,182788083.00,102788,41.73,12.10,2.40
14-June-2023,736.00,743.00,735.80,739.80,739.466725811918100440,100318,3062,74181823.00,33226,33.12,7.20,3.80
13-June-2023,740.00,742.25,735.05,737.70,738.870252674777954737,200297,6374,147993495.00,70887,35.39,7.20,-2.30
12-June-2023,733.55,746.00,733.55,742.25,741.692320581299832851,244693,8351,181486919.00,121173,49.52,12.45,8.70
9-June-2023,738.00,741.80,733.00,735.20,737.115776421942679856,183077,6664,134948945.00,79886,43.64,8.80,-2.80
8-June-2023,744.15,748.95,733.10,736.45,740.833967675782650471,348655,9787,258295467.00,103549,29.70,15.85,-7.70
7-June-2023,749.90,750.05,742.05,743.80,746.462701249581282145,235839,7321,176045017.00,100494,42.61,8.00,-6.10
6-June-2023,743.00,746.95,740.45,745.40,744.309929341982441837,338532,10132,251972729.00,182433,53.89,6.50,2.40
5-June-2023,737.55,744.00,735.55,738.80,739.706369994943095620,175997,4712,130186102.00,56625,32.17,8.45,1.25
2-June-2023,736.35,743.95,734.20,736.40,737.945306411291161839,432409,12695,319094192.00,142666,32.99,9.75,0.05
1-June-2023,732.70,744.80,730.00,732.30,736.219186216472995688,218928,5981,161178994.00,53536,24.45,14.80,-0.40
31-May-2023,735.40,748.85,721.10,737.25,735.343722099804342457,842288,21680,619371193.00,212858,25.27,27.75,1.85
30-May-2023,739.10,742.20,727.90,734.30,734.643231060606060606,264000,5895,193945813.00,76414,28.94,14.30,-4.80
29-May-2023,731.80,739.85,728.15,737.45,734.031638536314836711,477835,12868,350746008.00,187753,39.29,11.70,5.65
26-May-2023,727.65,730.05,720.80,726.90,726.056954880460183354,417225,10948,302929113.00,118021,28.29,9.25,-0.75
25-May-2023,716.20,727.20,708.00,725.05,718.777245851723070513,513647,10508,369197776.00,63027,12.27,19.20,8.85
24-May-2023,737.65,738.60,708.55,717.95,723.310764538043296169,746163,16599,539707730.00,131197,17.58,30.05,-19.70
23-May-2023,744.80,785.95,730.00,733.55,757.528298453288728063,2434391,52805,1844120072.00,555786,22.83,55.95,-11.25
22-May-2023,699.00,753.10,693.15,729.65,733.296102687129804010,2606052,63515,1911007775.00,861584,33.06,59.95,30.65
