Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-June-2023,1605.00,1610.95,1590.90,1608.30,1600.030300804888079431,68084,3366,108936463.00,27924,41.01,20.05,3.30
19-June-2023,1608.00,1614.75,1598.00,1603.65,1606.876990669528134181,108569,5132,174457028.00,42699,39.33,16.75,-4.35
16-June-2023,1584.20,1609.20,1583.45,1602.10,1597.073066197931924959,92163,5327,147191045.00,33357,36.19,25.75,17.90
15-June-2023,1601.55,1606.00,1580.00,1581.55,1590.889997409114946567,281757,26395,448244393.00,172273,61.14,26.00,-20.00
14-June-2023,1606.20,1612.70,1600.00,1602.00,1606.428159123656753988,230412,13849,370140325.00,123630,53.66,12.70,-4.20
13-June-2023,1590.00,1609.05,1590.00,1604.70,1603.317892464045069303,80587,4738,129206579.00,38780,48.12,19.05,14.70
12-June-2023,1612.95,1616.00,1599.00,1600.60,1604.502366915459007347,68866,4274,110495660.00,35837,52.04,17.00,-12.35
9-June-2023,1613.25,1618.45,1607.00,1610.55,1613.335188950605038682,161312,8393,260250326.00,66015,40.92,11.45,-2.70
8-June-2023,1605.00,1625.85,1604.00,1608.90,1617.032454203512820797,270381,11747,437214852.00,139575,51.62,21.85,3.90
7-June-2023,1601.30,1611.65,1596.60,1607.75,1603.288737645271425608,178373,11237,285983422.00,98061,54.98,15.05,6.45
6-June-2023,1604.20,1608.60,1592.40,1600.30,1599.296772158770700735,193411,16060,309321588.00,105236,54.41,16.20,-3.90
5-June-2023,1617.00,1617.00,1602.25,1604.50,1610.241655540720961281,68159,3466,109752461.00,33688,49.43,14.75,-12.50
2-June-2023,1609.05,1615.50,1601.25,1606.15,1607.854463637683263173,172225,13335,276912735.00,91333,53.03,14.25,-2.90
1-June-2023,1622.00,1622.00,1600.40,1604.10,1611.907403558696103979,187653,14400,302479260.00,105006,55.96,21.60,-17.90
31-May-2023,1633.80,1634.40,1605.00,1611.35,1614.574073796272683178,199983,17951,322887367.00,119791,59.90,29.40,-22.45
30-May-2023,1633.00,1642.00,1628.15,1637.05,1634.696453844424163062,75603,3790,123587956.00,26573,35.15,13.85,4.05
29-May-2023,1625.05,1640.95,1625.05,1634.85,1636.061325282942603071,79168,3912,129523703.00,29467,37.22,15.90,9.80
26-May-2023,1616.10,1618.50,1602.00,1615.50,1609.889794026984009724,148903,10270,239717420.00,64229,43.13,16.50,-0.60
25-May-2023,1616.00,1620.50,1597.55,1609.60,1607.017363635505282737,105911,6349,170200816.00,51313,48.45,22.95,-6.40
